0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,label
-1447845.9129672658,492674.8752381352,277687.66367925203,-137049.2604576036,49499.147186216534,-146115.89910652413,-155277.37082154467,-192876.88997674632,-2205.374212301369,-15176.556613495433,25470.434289723795,67292.49062652588,40718.368674195226,-20061.120878620823,-86246.45386144904,-82021.1552224016,-21277.133341432353,-33999.03486911706,39934.39953852602,-25633.409727322567,98669.9569563754,84095.08693186202,39076.86252542988,10167.694619016984,31996.205453039147,-65859.07972240658,52519.6262330381,12299.785754345052,5048.439798301186,-43125.38158730559,-17577.635748272904,-29046.50209888566,31172.609130442164,25359.113250034105,4782.245314250704,-71586.10094952513,35509.75101727721,19549.78489089848,-26218.764098285163,-1361.9500752109761,-28322.1422415097,40011.97251344672,46159.83579848524,-56743.77373674094,43756.787018609,38375.416622996345,818.0418529491308,560.7356568487298,-45028.389076549734,48005.24237774497,-617.0772078172395,-87530.59556566179,-21130.731692601534,5148.732574428677,4557.605097982187,61078.66946997014,2302.9363533270007,-79915.81831760194,41354.41593329991,32721.29287612071,28160.96039923274,15266.65662839402,13998.565104202797,-50007.86988618135,-10198.794929697517,48014.948354408596,-16742.18750111328,-50040.38961645834,-10341.547375746119,-23657.896038359042,-78622.46523669705,8681.55410364944,-32760.460498001667,17903.888619209563,1432.6714281381019,-47849.45565899848,613.1605719543941,18752.58583989529,-18702.296918238284,-41114.887012483494,1
-1447305.3892162293,495684.9746364594,274580.05036605976,-136547.79584451581,84014.26028089189,-135930.02246086928,-149821.19474920805,-193866.3789201322,-696.3532516611667,-11502.81079153048,28579.264329079255,67528.8963159113,38840.35723912832,-11648.85268677504,-95044.65849808301,-80619.19235036336,-22084.44214062717,-40035.733948239256,35677.39577096594,-25562.07001317279,109110.9924081688,71562.5300890828,48570.359577851195,13778.03023466815,18235.99073055654,-59146.096232500124,48634.06538236454,14686.5062366052,-3049.1286709739306,-39441.57449881852,-601.8751220996724,-30796.53573768313,38080.460101476725,25285.097189762582,4164.960607687033,-67857.1216349533,16974.021171373875,22225.86386695472,-12697.25157879798,-13680.770637475664,43293.27694228346,38076.578863249,33785.78950412994,-62579.08389084919,36928.99509988765,13031.119989487488,54679.607688753465,14777.970769070253,-28078.451626029175,55428.35218324219,37205.363611172776,-89274.09539819584,-5157.8704139988,-47667.1607828299,-16027.085727992817,66249.99714583074,-4945.268740056155,-57529.962123414196,55975.435075159,42495.71543617854,-10779.176450366376,-13775.242291537794,18499.737095647193,-39026.0043393333,14656.44787873459,27543.35340252807,-6375.7876493344065,-10882.145787344281,-56762.52812885914,-29326.203810811097,-72902.37528985496,16592.748209545556,6201.7841986088115,-22712.679815612013,800.2277472871756,-14927.73673708691,-32233.71407983792,22793.191928531884,18992.870875404868,-59126.609792650735,1
-1446892.3160264522,495708.2624603765,271239.01933543105,-133251.70021801128,114998.54171354012,-121949.69705783924,-144471.66941798182,-197623.56991948886,4238.6481921772975,-4403.97423308396,27007.731368681038,65585.55540663793,36999.128933162065,4328.932086552006,-95820.45529019338,-81364.75499566774,-18477.72216559006,-44543.50775462522,29286.125075155218,-31950.3915790148,116251.29146134175,62640.59441247331,56092.46567444797,12130.731728519597,420.64863864477957,-54238.94216807544,41131.90035730107,14606.302976569837,-8550.170325976102,-33219.398915834594,16225.732508564823,-34313.98325131866,45596.31960786827,15705.012619074487,-12385.019850775698,-68920.34421510881,2093.580136921685,-2114.3815179228195,10608.895741855622,-23875.268564707403,78940.88258562607,37754.5776497422,-5262.122802660207,-29430.531428239574,-6930.604661016307,22418.72641724253,47239.77510994136,469.68448054177134,-16636.337365992884,38302.00463621821,69013.88087422895,-74327.87040522275,42498.7043042436,-68210.08268402582,-43128.05429888851,47290.26457678218,5929.710419427441,-23570.14253818738,75146.70632825092,28863.99703474225,-12974.440050674328,-11189.319648564362,-23247.917994055788,-1783.709313871896,23308.445795661748,27588.672225883383,23081.875587113744,-3749.2531081986217,-13509.789025094302,-4731.505137547603,-63039.672067861466,-40072.757783023335,-24056.935888039814,-34764.66461020757,-10193.49280413337,19736.001901400545,-28726.820096712963,-20345.518093504306,16905.6974106311,-28778.677195443102,0
-1440853.2251687534,499791.65153116884,271160.78055940656,-132854.98189682828,140214.12344981957,-102500.11821071565,-135515.87311060514,-198925.27562482606,9790.59363253645,-382.9768075442407,29997.806435392617,58870.70507007334,43929.53916008856,18551.333838525636,-102271.63285709955,-76870.4413685824,-21769.4690129256,-40562.999498078585,31738.447433524663,-34751.54572014396,117538.06827213168,55053.042042389934,62064.50868186551,8870.326529743183,-14267.60258387654,-52489.2055479479,43378.013880837665,16315.283372807007,-17376.05448138457,-15502.596686443303,30944.914044401143,-27144.541015972405,42270.30427685384,1302.8515695787328,-41102.80784346426,-55846.73050166039,-23366.845536934234,-22729.909695427268,12880.310899117154,-4812.932853187024,41407.44907527016,65304.02185484441,16545.933118998717,-5400.44376880173,-57989.08521065864,47856.80210198332,-4315.519189439694,-19679.791719990462,4615.826226917311,6182.41155451763,64188.071838307296,-23389.661536769272,53229.99063425586,-55884.52783423082,-36895.84156326548,20414.66616848955,14623.310329384089,-26516.61613591731,78134.02111902532,16621.201695408756,14200.30916546017,-37174.74387568743,-25689.683813025455,-13792.801876571257,58648.69471922599,71488.26779742948,23128.016928857833,-36812.9856468092,25052.420862902014,-22673.023613074063,-10790.537227234054,-60579.366461554324,-42621.657175674525,-37646.58700111988,-40403.57844927256,49509.33933267379,-15675.435221612996,-29819.69347332398,39557.07294060034,11832.746499465866,1
-1439296.1247183871,500018.65076737234,268694.3483872686,-122704.4592893406,162998.86434146532,-78612.21645940215,-128024.4794328323,-201466.72830896967,12802.362439658642,1700.7112781599226,37569.56706143305,56906.53194080616,44973.981475148335,32378.396153413792,-96283.70054394047,-77562.63795218147,-29843.336773784693,-36307.45715503568,28447.422408465973,-38016.10772644138,115709.05890374079,49532.41240777643,67991.3946208557,-1314.6799383933458,-24937.825428438817,-39053.06896215807,53283.03095513172,17077.587345956978,-22750.111407823286,-2727.1358202129513,25606.53490114044,-28109.275129676025,34114.48027828684,11098.146306270564,-60114.57365737808,-38544.854079410004,-33834.40732033874,-38970.1685406032,-528.9088813874978,8377.615680112689,-865.0199231374522,78645.62194116855,81619.2967479142,-4370.268720086923,-49460.45629690267,39128.65167909092,-24960.541283278093,-45748.982588428844,10692.4176980313,-13520.285292295117,33816.88132819184,-936.173920290581,32187.81267216347,-25834.883857708446,-31977.532068496334,14019.880992232731,1702.1481744135162,6174.014656859927,65245.770738437415,37742.226062413225,41678.86433330344,-37224.40876776084,-28308.261020134214,-35142.64808481478,71465.02506207892,56652.36727739645,-6400.765936576107,4678.531981275065,-19922.712342078106,-43102.04956131291,-269.83352603133517,-42649.015035856966,-17733.85742174375,13742.57153366854,-21747.141750384122,15464.32558938216,16683.13305708937,-20608.95758314876,55436.20462764263,40467.67829813008,0
-1433854.8934264334,500704.2246264038,269371.3434987451,-118516.10480431964,177299.15068874686,-51672.467468280214,-120014.1242789027,-203192.33055677998,15878.418254022181,2410.2412931936415,38338.3837115341,56025.83215883648,56086.463999610816,43367.774354038615,-94704.25109147195,-74548.60235967475,-33154.04855124256,-31191.705006003947,22167.968949668182,-36674.70501327574,102568.0337957877,31676.572947525143,75772.25371197329,7662.302149090496,-33214.34938036736,-27391.80172640382,58936.50359976241,11469.993789312324,-34786.62346059289,11801.535752440821,21154.34944373893,-23340.13133273592,43006.24396639088,20408.959415564095,-62587.27600844485,-5890.955569208232,-31628.795645229016,-44424.255586620246,-9147.601373591297,5900.916641599268,11677.070883015424,77700.50362167685,97851.67010898843,-29643.57046506113,-11570.23170568848,21357.740125595577,-5881.303349580205,-28334.915908206156,11286.555999650915,-8255.697504892949,-10172.526268311663,-8288.511627218268,-5656.517312103195,19657.762032096405,-27249.519617071626,-9991.47207102408,5545.707494431999,63479.86060294928,53079.532087012245,44641.067823042176,32344.351365418417,-62169.124349537364,-54472.25113902384,-42667.92094914175,22129.487604455033,10039.770201904159,18943.464793879724,18220.621261398035,-45713.0639660859,1001.7656147057514,-10185.49349141974,-18632.992287175122,-46544.67240572949,57788.62637773527,5499.1313559635655,946.7532575108035,35699.465005024846,-45658.03429083206,43913.841923160006,7895.384620202705,0
-1433919.1761101736,496512.28418063966,266358.59735135105,-105394.00535539014,193455.74815401982,-27380.48463743788,-113545.85910846804,-204365.98471295575,19362.556297889012,5760.94821021956,40757.279289032755,50362.86274342981,52499.36995163286,53563.92704660277,-86268.26000846764,-72028.17981556094,-37155.57041790722,-33446.88341059569,9406.504126702557,-40351.8877623191,99024.26014510813,22015.43697829433,82593.88837827464,2991.486029779816,-37740.54751012103,-10807.66672543293,55238.66891176794,1354.5368623337909,-32053.417953622877,45953.94464015462,12898.525787025344,-37621.63994783661,35897.708197422,15509.270281337169,-62074.181048488885,13312.804882048138,-40074.8209251719,-55476.6464855485,-17479.13094349935,-21975.216329642575,80408.33922232076,32808.97830837687,49050.33414854946,-54338.26343708121,1740.0906513088084,1465.000035355064,-7708.263527810465,28670.17348380131,10689.041816267461,17167.424349061293,-16180.36272099165,-8455.5531967819,-28045.052201001843,57597.797216377374,-20074.223636612747,-23168.196182954,7948.709154076811,82463.34260852699,47811.747713736586,23005.545792126606,-7334.013045300202,-71575.10192027257,-54294.014947154916,-20331.856974990787,-23771.07749732765,2301.5042376605816,9289.152871736716,-21769.85321549802,-6123.349131374309,46044.81434452027,43365.624038067144,14415.44737558456,-51350.372220779966,35374.1947488913,5931.390479259095,-19730.05072219692,30324.759493081358,-29556.053530597,15691.598211831784,-12587.402974696837,0
-1431747.0137652506,496305.6025399546,263893.836027776,-98679.06118534463,206846.34163906678,1980.9494785721545,-102861.04288150126,-204386.97977389747,24295.799687781713,12366.805114608516,46045.56973540617,46609.65655961957,49400.20625381329,58028.78015327611,-79318.8089301435,-72589.95227973502,-43905.019170308224,-24946.328940239844,-802.0042299175511,-45326.173631267084,90387.74492985179,9724.85548158698,78675.62968256135,-5239.09081379794,-50604.82715975587,3759.975348733402,51643.970065487876,-13252.182709818928,-27396.06214970376,58535.195523045666,8144.94478424893,-45681.88852939822,32630.40861025844,-2346.6227293550396,-75305.05881145767,29416.804121534522,-44220.20128559491,-64077.36990474927,-13489.491902701682,-54405.273916621976,86000.8903897861,10890.947918928272,-16358.064610328942,-32133.851043069306,15298.773987623103,18859.372924930023,-38038.61714721713,60572.53630653082,-2378.800000623891,47487.32587876544,17064.99761388807,-718.0861104168252,-8901.58442456404,44991.454405069555,-5346.749888592634,-15533.211116829036,15409.157406136605,58677.6765351155,21470.316295866767,9029.324388710174,4333.6838230421945,-60198.69336852049,-33894.69136182328,-26836.544384525598,-42396.482455386555,13980.44253413392,15680.675549037946,-25075.255867925694,-10061.596439278206,10306.246774966328,106330.79556642307,16578.93514170218,12742.7380284549,6888.089380174511,-8822.48781223178,-5635.586465234064,-25706.671261808937,-11622.890895985242,22682.392404450893,-13152.236511795614,0
-1429430.8134158591,495433.89808689314,259979.03359371255,-89215.03137763849,213659.53532873013,31248.070570816977,-96209.83446620451,-199808.98973531395,29061.750590194606,13087.438804424448,50139.69588709956,40808.19263201531,49842.69003234076,68508.20380827833,-65912.33132173344,-65165.071829343266,-50520.28329396134,-15801.296187441185,-8109.156924966399,-43026.62761912357,84889.41479117691,-3132.010408151662,79187.75388975235,512.8693536085848,-45370.76485385357,14203.430511150182,51079.581834391036,-9915.233778504633,-16626.288238290974,54444.28364860581,-204.9575267008231,-37489.15598793488,11919.702090934892,3221.1038131054047,-75080.01365922534,37130.64916239138,-36014.59915385215,-85202.90185142015,-10889.410644980851,-58523.41554083729,11214.595246649133,17301.94294109639,-27453.316769677396,23543.460421932083,15094.093518739443,36486.342675943175,-57265.5375562137,78663.49108217983,534.3351302048941,30746.15617990283,40557.32134022507,12978.438573927451,25200.75536692895,23574.458309737285,-10614.245795901084,-20330.095081123334,-999.9550491865198,35943.37818985375,-16743.624282055785,-38821.52305949526,-746.7325922977434,-43257.00075966098,-37962.26882595732,-22866.639551962566,-53219.64986410418,4708.569440499443,38174.382969781494,15065.71628797604,-55454.63229270017,32040.106298842566,99016.2496255793,7930.196543320333,25281.181481863554,51589.535561704215,21658.37603808497,10147.701917905124,-12558.410709792164,25465.672340555902,-20455.032706111022,7698.856610291466,0
-1426325.9457883548,492079.2563953317,258095.1333675729,-80393.93809851065,215748.75928958983,62366.42519685442,-86398.95003334519,-194403.9929515472,33172.91751965196,16358.592679650363,52040.3138254324,37463.47679906752,50590.43965473652,78224.95582984333,-49743.74028122729,-52465.833668655454,-52421.377462675344,-3006.0042678317204,-12381.597576159233,-40489.70997789696,67012.16945673572,-10256.392614165889,87355.6587136331,8593.620623802839,-43138.19889114395,30870.68429291676,49279.86815715943,-16654.71018871274,-13545.918971657557,46569.214911410236,-26968.225815726044,-17495.458089318527,5912.367198740667,7171.36969279746,-66383.50466787953,48151.74937215288,-28339.854537329196,-94645.11858957465,-13344.771119427976,-42267.73735785417,-46443.307243399126,32983.330856790344,24204.334018023852,50768.86285115007,23074.25708894754,32283.744491847392,-15768.613109021248,61665.242051104724,-17079.437191474164,13351.369660617403,39592.132012730515,17761.812207497984,9670.364764620084,8549.11378805535,-11965.041465730295,-17959.732029856666,-12094.30984107793,13486.037920715322,-62537.31585255999,-62072.099381000306,15632.557434458202,-15484.95678134702,-25347.33397100434,-21628.6566167307,-55467.08923150958,13606.688037243523,69792.07749890811,7929.260815404924,-17679.85964562696,48983.22722635254,46953.02528301263,20336.534607463913,-29645.9680740518,37608.96378709051,37323.363644870165,10185.993215839035,-8937.235198416834,49511.51819965874,-27145.838979726483,19457.270724771737,0
