0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,label
465235.2019831951,231411.12870656903,-160053.2565437093,40482.94872004495,-72197.69823423364,-192410.9597242246,78221.05587250566,-27562.41292238956,162992.82555087758,-120950.86021673908,-107056.97292659192,-75998.56818378884,38974.12446761654,97828.25352019955,-61506.15346422481,-14742.180085314336,72907.64750675125,44768.05329806881,20006.59829373129,37176.64241966937,88863.80990660308,-80620.50112865125,45819.6099097842,78546.40608989573,-14394.061789701293,11735.420664968125,-42655.2821199723,39140.69771164915,-49366.06416558976,76123.64349803151,-51508.82128338429,25308.262725615015,-67382.19760855201,-16472.503624351135,44302.2273022466,44923.03565476231,-54894.5517761755,-61464.0981390785,4312.8039663286545,3997.0676006220733,-65388.30275165805,28268.08748508273,42573.95775205213,-27074.83551242381,48247.09179418766,98333.67025624927,30091.170133551703,26683.088122343914,-12571.25121730497,43503.609278088195,-58966.95684940343,-857.3915972783002,-26283.895565441944,33585.398676070334,85684.16495795241,30277.481174813987,33239.989743754704,-9374.241823934844,85793.86920448634,17304.246253848298,33503.3948548972,-35645.412011185595,-17631.015448865128,56010.95423592364,-38624.96611576025,443.00335881571436,-35820.4101404252,-61450.249862888406,-46889.253256220705,-47256.81931207134,11768.157080181616,-47724.43306635703,5504.1083618998355,62161.34407476187,-28019.16762899342,37005.83777665228,-30390.364246579928,83667.14278847798,-43732.053214480366,-72358.75576168158,0
463966.16491207,229440.818801031,-162955.9267136359,44346.74817888322,-53513.125602465065,-191645.858329643,70163.30481984389,-47653.86363430248,165720.9943700091,-121428.71855726287,-69786.0308194114,-102801.07415106591,38166.75568686138,116883.1054807554,-69966.7460464984,18037.93012396672,73260.86729576446,34103.54650630291,19101.941762800114,49200.222149610105,81688.44277316082,-74422.2344988687,47402.99257196098,69873.24746249588,-11080.689070616212,-5005.52304241932,-41098.610002342415,3546.8342689988563,-50927.27209388194,86477.48168806992,537.0709085033486,36662.50202682297,-85300.8481673982,3067.0871496666427,64106.75762113714,29840.855792135164,-15709.776891855436,-41663.41787856088,10435.92088306128,-13848.187889881772,-82035.86378315934,64267.235468740095,62542.9636674161,-33263.643677979664,32181.666534941683,71236.99551995801,1670.907926569629,20169.97074629801,19458.1194123219,17766.112073770106,-86098.31840196234,-32111.562338613272,15795.824278389495,37310.90224198702,50653.69818322162,-53446.30417525497,53286.50063471126,7843.351084397031,70563.97127837602,11795.303058267094,14217.740217395673,-45755.52528038032,96026.62640836518,2036.64483484995,-44323.16010744635,-37308.835263145025,-28009.828552735435,-28186.678431890345,33774.84252533051,-13546.899082642694,-6465.465153120763,34527.29473023385,47790.19101358907,81148.92846609768,-1898.3034464148668,38462.723656439666,-26004.32749710514,18326.41823192116,13527.151522217122,-88079.09270216651,0
465332.02773375803,227990.08558350478,-168196.53857105985,50145.97059334823,-36077.18413617595,-190259.27286287874,64963.85735285901,-62035.97376929136,161036.19851038727,-121263.90561318093,-21434.82610968836,-113916.62476550775,38369.75291402078,133775.09457708674,-81854.4111896927,34697.359020810305,55410.54890153414,30031.285372342456,9180.085938067954,53672.07093152169,84612.13231973814,-64603.26112461813,59510.37134471189,51864.83470115354,-15666.948012434477,-31.316383929279255,-39934.18428883125,-28951.231470196555,-44846.7416999657,69223.25252562642,32430.43148278052,57442.65651407773,-100638.66788092116,27258.702355241563,44505.46188865923,4194.9850660410775,18002.537088084777,-26041.031722119358,52464.41420494409,-36357.056770285184,-83819.7615482841,78235.68513163472,28502.358722082805,-36637.7642747514,25842.991598409462,42284.16836281458,-45537.71673862072,-5909.751496724618,50887.39967968205,-13536.040531746483,-40967.63917778697,-25234.883042355228,77047.19869830609,28289.662748002575,1557.9317377285847,-42206.61020398167,3550.306982461291,-31183.077864590792,35010.53768853615,-9835.426653714554,-37250.82439983488,-36852.34519795724,86574.23545557102,-83245.90797265862,-51363.44141181847,-31594.11250777897,-42039.79930025138,25784.646802490297,102352.28260745523,16032.65147705807,-37508.58487627297,26698.52311964336,101815.59829201152,45429.72706600219,-6184.931409958313,29146.28939764959,-23094.38459849258,-15182.563503018075,57930.61305811962,-81808.40925742316,0
463941.1499596345,232363.52269449818,-172934.9873100681,57727.27993333168,-19521.595514748005,-183286.02984943628,53923.81887987691,-73987.0795142893,159145.43107666104,-119513.1695996091,26834.989974660402,-115395.52561121312,42276.89019434822,132767.5362480303,-94470.67300778373,38864.545944047146,36979.23250768822,28269.688219949458,-4850.044142053596,60659.35488940857,84087.03742192339,-43162.34917089541,63953.97729970518,41952.64005096892,-13507.66962431495,-14128.261677660057,-15653.786775916034,-41968.097674285855,-28680.570106247727,34921.84967839434,38363.42750398689,71112.59134793679,-108991.1083481575,43149.47894396883,-12255.750914434155,-36570.51912192177,41416.89451651032,-31402.35048913847,93137.64045405516,-39871.18033112976,-63611.70192709478,60415.59354692059,3184.522477745955,-34012.36631772024,28820.323142293186,15869.451132814476,-48032.45785828796,-29411.82450592538,39252.41181937621,-15374.049773980947,8740.925353604505,-31228.82042466899,61012.45499860004,-11795.671238178893,-3540.3619808018907,53523.974642348,-22057.15423310693,-61423.14784896235,-8125.611129025989,-31889.953491919372,-30575.090459984498,-37212.24616494407,-3057.546457655382,-94877.54721476708,-25867.067052528055,39642.8620398446,-52437.413398661556,71681.1499890278,91952.47188281959,-15250.677381941783,-22376.85507283928,12025.184632321525,105153.91546624903,18966.204294761712,2475.7601836201193,4905.6242830541405,-27934.086473758216,-31517.624101217352,59281.178915700395,-34584.73180899015,0
463555.0628242521,232674.35927893806,-173765.98329739133,60005.36525947356,-3665.1714048377025,-175594.60196984094,50672.56152714485,-85482.6991186527,142182.15417805614,-115918.3687934493,79664.34405112953,-107938.22095409106,41903.865541175444,129437.40996315959,-91129.28597171466,27532.868584394197,13118.529384129488,20378.178797315613,-24318.929706479477,59632.743652432364,75753.98258180988,-31131.929714756337,80504.60294950652,40069.211814305454,-189.92636238554587,-25868.858196274556,1525.2448943349727,-51017.994745663884,-27394.329358664676,-9322.258869338242,-3699.077624230127,33411.179966102645,-98585.99324849826,34999.04307579779,-76887.90562901947,-58353.18165994603,14625.648541404746,-20095.572527697448,103056.29719522523,-39513.23256822862,-51574.37106625969,16991.106857770385,-31393.183887452837,-23231.165694417436,23260.02935400776,17226.352720389863,-19261.812557609628,-34572.90126722666,17797.814805327194,-21205.16243644139,54880.75268434838,-51901.34981630495,26115.01747935719,-1902.0955567359727,37723.55243112668,95741.52758832216,15494.614221080981,-21145.784278718933,-3200.6630188802037,-158.1839242059491,3040.587081931266,-45773.56019378388,-57127.97854967461,-4721.051485983917,-14150.508645825848,106912.73566144753,-6633.52906048487,72221.64432607505,11297.611930470975,-11194.375000346512,17067.617672755594,1951.7534420675308,64560.05633624813,22331.409792854927,26540.051230495574,23600.37230672795,-9874.809345170377,-87712.16646994345,34849.83897521408,11605.867248032844,0
464091.06918331305,238722.2779607536,-181821.47484800985,66096.23920957776,10169.984540957958,-166495.2882386199,48080.19212655613,-91798.31085061656,130511.86302564027,-116648.47092003273,128554.77451565032,-93361.3776871715,31539.959433343287,116361.79523448602,-96511.27507030746,7037.105308023716,8952.103228254986,653.8761502276866,-38711.999922672185,57258.99259198497,68617.7543846427,-25540.398895173184,75245.88067607585,34096.42538882777,10520.858459932322,-40673.13652501743,22684.846746925374,-52731.13154134086,-1867.0876030825739,-18195.228716146143,-30911.725650138433,-12351.033182626612,-96714.34439020342,17430.637565584788,-114018.73547611636,-81446.033400434,-52393.08305522325,-7497.802283513088,83359.58093100895,-41716.70886582908,-32546.5450284175,-5636.884643012156,-32518.327666496247,-44917.14818246526,2121.704599075023,23535.666926522197,22667.344916192003,-58264.11314307485,-25419.66326345171,-19531.953046346443,72930.4814298082,-40171.40368285755,14135.934759931477,17539.636426635254,67718.94959250014,32679.823136221883,69618.67229308853,-11547.868646855692,27318.993719685976,23398.940127139842,26650.414759560677,-78261.71689611697,-14672.287407613247,83358.40715244798,-29760.930521678518,91291.51016940468,21798.912792851665,41270.74462958915,-52163.242716615816,-8779.947065609173,20643.288864110105,691.3798164874584,25826.509109510665,38762.64376422978,26696.190944202302,-2415.3738427364183,28732.751667085042,-125499.70144039083,33027.97744181022,24529.02009307131,1
461996.24303531135,240155.1911543947,-187325.51431513962,71857.42552720715,21502.207380336527,-153603.36952050275,40962.58652778079,-100247.9939966766,113904.81674731855,-123494.0222703536,169679.39224610885,-67139.43409559925,20063.25521853268,97713.15429145924,-95546.33802053818,-21327.209445134868,15979.463102307218,-10477.647131437709,-49910.60511931042,50717.596987013945,58040.202884814506,-13348.96716014282,67522.8786033539,41364.92455570347,13419.739300236017,-40268.07218845893,31048.455096587517,-50628.837429023035,28365.75559814232,7363.5323923647775,-49845.70999099935,-54079.10081533472,-59788.994945857696,3089.768687817681,-96837.0489488012,-90824.67868120167,-115706.49668571612,25143.81332825181,57545.553154158166,-56546.49685005847,-18106.55134823606,-14862.191456298628,-6754.160410017579,-29644.270070248363,-12076.026930248336,26060.233637021505,31215.543078078266,-64164.366176646596,-49745.99618195285,32755.566812259778,79964.73221383762,-22102.771431679015,25572.376646958397,-15068.577973630345,20576.34884889681,-61783.319396600695,79642.56080990794,-37780.53290492881,50308.442787003645,39303.32952379535,-13744.14208738159,-67839.98751776082,86876.47166307466,94356.93793659771,-21072.179222143823,22561.59583942053,47104.231903697124,21920.78688623597,-22117.728232512894,-16861.441067515614,-4155.42626253623,-23166.681323110526,-24793.910356459855,17597.79349538382,56851.54755906619,-21200.304167652994,50707.41242759621,-101607.07567470548,41797.404092718934,65653.78633226996,0
462677.7520820194,239875.32692378204,-192287.7205188216,81805.97994152442,29695.243826116428,-138981.7963015489,29883.82438839449,-99560.92630974777,98110.83313122024,-128435.7216928805,193978.2918257557,-39301.6529428569,10132.292109844951,73924.54861457554,-93053.89764934761,-33383.041959003516,25661.22237335696,-17729.175768106605,-57067.44212143483,51826.68841575989,41049.214775640336,-8815.427584874735,64336.659963796585,42699.22114393254,12928.835457286907,-41878.120012367275,38480.92557943428,-47381.2478577902,49826.199869190765,43262.89513576229,-25379.685381987547,-74897.96056764577,-12580.90583181695,25480.97093891139,-64241.410420407454,-65139.32504482629,-130690.53289685889,59830.57822216907,45795.07856204557,-61135.48638915326,4311.0400397706935,-12208.784862587792,44397.784861858236,7980.121960891527,-26220.933105103235,11485.36914630698,19668.88491466711,-63343.25203127328,-72154.4855092261,64055.560744916635,33575.26370892895,-201.73561250334842,57858.019921512896,-38947.82563359821,-26402.65999581217,-55395.72832828068,9456.056255532485,-70845.86567842969,53716.38617590346,20736.43012983327,-55837.7081784947,-40119.7910645663,81036.77687334287,54824.779811151726,-10290.474759379002,-7551.437103364819,26481.8480318276,24474.773152037964,18149.12048630158,35151.453799242205,-28186.236387961035,-25093.935017825203,-59175.62422939285,-29044.275090334937,52054.320156441216,-17957.570650911795,68274.08686129312,-27003.876696710515,56392.113052231296,38184.699802498806,0
460700.03781260445,241904.13746447413,-196258.72327183603,85151.16289029132,38341.0452106556,-120957.60142437296,22633.449329544357,-101730.53272437025,84837.42212791413,-137580.41085771375,205005.50178665383,-2800.0940263302164,-2295.4334133923203,43667.62331452584,-92892.590935395,-26551.61590983327,47033.871095806164,-28802.692971103155,-58936.89782186166,40988.75249517128,26351.467928638136,-6410.76454853058,61115.731541896654,49967.34016923573,17252.59954875236,-42020.17731222459,30431.08059342296,-36421.55283304094,58322.85311736159,46625.65869035169,28653.09690973816,-66937.14305832943,37011.02273261493,51821.73907059273,-25247.437924742713,-24953.090530569512,-113027.53572850849,79061.05726189108,43798.01790813944,-48081.71344896667,15963.8944139144,18236.14507619137,77997.0115804058,62905.92013843302,-14996.271499446111,-1669.5254802613376,-19279.72939978825,-31876.647768883377,-71401.34100566334,66405.3900757933,-12948.374014806808,-3328.6110967516724,71997.99352671872,-31939.152791810375,-18212.82498691941,16560.9850966452,-50061.38774106398,-47544.71561246411,51121.84339857206,-4840.875091493801,-23663.3513454019,-41660.31248901237,-21666.58577542941,-8197.118808568268,15245.522354097015,23813.63435237255,496.5126204584499,51920.98988410205,41654.86385637027,36787.822977639,-40672.26447730881,-1024.0994289007613,-35170.047068092936,-96474.07189283367,17119.253416149782,-15822.950243391613,19206.793979590104,12307.511050428264,76970.48592700488,57036.583403589044,1
461302.66711156385,242949.24449147153,-196815.11128781256,91527.18288201763,45231.45556430274,-107454.96860340661,22672.24606518144,-102630.37500109305,63459.256262684234,-148425.96385770375,205822.0759234153,37089.762743869105,-18018.09742973047,20083.624781695566,-90092.43263786643,-14956.338998305764,68539.14906407741,-31981.510318291363,-65343.65961118797,37292.68371850584,20387.016216454,-7365.147273885825,48074.05738205698,50678.67719410602,28480.15105974701,-47581.82936911173,44099.48071834959,-22911.273804125347,56307.678281315944,37061.90783036429,52062.39646653294,-28031.87858394285,71837.55442654178,68393.45282171137,-24739.280761678856,22508.022208186972,-76798.30803176879,80335.88736374227,50559.16882043306,-24925.003911753785,24173.85987164574,11001.538069043872,52331.18414473122,85065.91256616844,-4238.948935073252,386.77900879308214,-54044.47286602691,3128.122358083967,-41589.00397684339,21376.119012935636,-59216.80538136797,-5802.575002178868,43485.45558403792,-15915.268201635015,39774.238898743584,55519.78509413593,4090.154931146697,23345.23286787779,37469.034307243586,-11011.922776654013,14835.692300265473,-92660.96672729024,-114630.21279243166,23740.741532611013,75096.86452163257,28663.396424710423,1596.2814331496734,45915.57072269108,-2287.2420368807207,-7381.047556970795,-31256.797086370712,18481.04825037776,-28770.153459177945,-85501.7035454335,-29414.01226567329,-33882.96924266668,13969.353904868682,34596.97949704719,35951.45375954754,20084.82519548046,1
