trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.5534268891768003, 'e': 0.6679780267989895}",25,8,-16.389159729295258,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.5524868627140826, 'e': 0.6623242760521222}",20,0,-22.220316834802542,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
42,False,"{'a': 0.551382993226099, 'e': 0.6557340393934418}",20,0,-99.89272747021363,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
43,False,"{'a': 0.5502813292708233, 'e': 0.6492093766851474}",25,0,-167.05493568282947,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
44,False,"{'a': 0.5489073441446711, 'e': 0.6411447682867216}",20,0,-70.58495170116586,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
45,False,"{'a': 0.5478106265395595, 'e': 0.6347652712514176}",25,8,-44.572805883227105,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 0}",1
46,False,"{'a': 0.5468801396124225, 'e': 0.6293926325081629}",20,11,-23.806650408189444,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.5463881689067969, 'e': 0.6265667287141238}",20,0,-22.63346702459445,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.5452964846171677, 'e': 0.6203322855961783}",20,0,-24.82860668907802,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.544206981514204, 'e': 0.6141598762237378}",20,0,-42.101506198332274,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
50,False,"{'a': 0.543119655239892, 'e': 0.6080488833507213}",30,0,-8.908262005820738,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.5414927378704143, 'e': 0.5989962148511054}",20,0,-130.20053945552246,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
52,False,"{'a': 0.5404108346585198, 'e': 0.5930361029297179}",20,8,-1.9487481672376743,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5397627305971389, 'e': 0.5894885396446782}",25,0,-30.875184607680744,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.5384150091244251, 'e': 0.5821657953986414}",35,0,-79.11016052492752,"{0: 27, 1: 2, 2: 3, 3: 2, 4: 1}",0
55,False,"{'a': 0.5365338505403607, 'e': 0.5720665203762105}",20,6,-18.518200691661736,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5357832287074888, 'e': 0.5680760377173407}",20,0,-38.59461568035484,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.5347127331025107, 'e': 0.5624235866989392}",30,22,0.30442208917378366,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
