trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,True,"{'a': 0.6, 'e': 1.3649180529946278e-101}",20,0,31.333411660270656,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.6, 'e': 9.196745499172731e-104}",20,8,24.037588426397708,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.6, 'e': 4.5787899692915775e-105}",20,15,10.809898150770277,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.6, 'e': 1.3118452900173596e-105}",25,0,32.29061308048069,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,True,"{'a': 0.6, 'e': 2.5324571662048504e-108}",25,0,30.106367212349628,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.6, 'e': 4.888792411319657e-111}",25,0,-8.694444683645475,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
27,True,"{'a': 0.6, 'e': 9.437589531590669e-114}",20,0,26.026455094305263,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.6, 'e': 6.358997806298176e-116}",20,0,23.820253100293844,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.6, 'e': 4.284659018613786e-118}",25,0,34.118799109051096,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0.6, 'e': 8.271337724808341e-121}",30,0,31.07553118353366,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,True,"{'a': 0.6, 'e': 4.574747615805637e-124}",30,0,37.55220967889288,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0.6, 'e': 2.530221403673164e-127}",20,9,20.142893708893858,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.6, 'e': 1.6175164271625884e-128}",20,1,23.282430513369746,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.6, 'e': 1.3994259113851392e-130}",25,0,6.322187675753938,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
35,True,"{'a': 0.6, 'e': 2.7015275389776736e-133}",20,12,10.677126655457759,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.6, 'e': 3.656119946590527e-134}",20,0,-23.12054634966844,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
37,True,"{'a': 0.6, 'e': 2.463474242242616e-136}",20,6,21.12538378423349,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.6, 'e': 7.43904762440058e-138}",25,0,25.250066819235766,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
39,True,"{'a': 0.6, 'e': 1.4360740256119015e-140}",20,0,5.591424495007982,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
40,True,"{'a': 0.6, 'e': 9.676190671336298e-143}",20,0,24.0633686781605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
